timestamp,conductivity_conductivity,conductivity_temperature,conductivity_salinity,conductivity_density,conductivity_soundspeed,pressure_pressure,pressure_temperature,dcps_current_speed,dcps_current_direction,dcps_current_speed_north,dcps_current_speed_east,dcps_current_speed_vertical,dcps_current_speed_std,dcps_signal_strength,dcps_cross_difference
2024-05-25 06:09,31.5478,8.79264,29.3672,1022.74,1478.52,237.818,8.78835,24.6186,250.974,-3.57968,-12.2278,2.24945,51.2024,-2.49805,-10.0536
2024-05-25 06:11,31.5468,8.79045,29.3679,1022.74,1478.51,237.902,8.78515,5.59381,237.348,-3.01805,-4.70979,0.644173,32.9968,-2.15499,-5.33396
2024-05-25 06:13,31.5406,8.77246,29.3765,1022.75,1478.46,237.926,8.76851,9.92674,216.439,-7.98591,-5.89622,-0.0601805,45.6988,-2.75511,-5.51383
2024-05-25 06:15,31.5318,8.76022,29.3776,1022.75,1478.41,238.013,8.7553,13.9938,233.853,-8.2543,-11.3002,0.806615,68.0836,-3.43092,-1.31193
2024-05-25 06:17,31.544,8.77283,29.3797,1022.75,1478.46,238.041,8.75127,8.09244,245.98,-3.2941,-7.39165,-1.23111,35.7577,-2.35461,-4.11585
2024-05-25 06:19,31.5142,8.73175,29.3831,1022.76,1478.31,238.094,8.73488,6.43654,229.728,-4.16068,-4.91099,1.34558,29.9443,-2.12387,2.42402
2024-05-25 06:21,31.5271,8.75313,29.3786,1022.76,1478.39,238.149,8.73137,8.9948,242.623,-4.13627,-7.98735,0.967401,32.768,-2.23325,-0.676687
2024-05-25 06:23,31.4983,8.70415,29.3895,1022.77,1478.21,238.252,8.71749,15.7581,251.876,0.611879,-0.115028,3.04669,40.0324,-3.22838,-13.3863
2024-05-25 06:25,31.506,8.72459,29.3805,1022.76,1478.28,238.284,8.70404,7.28412,247.135,-2.83037,-6.71174,0.561958,33.4132,-2.46156,-0.533286
2024-05-25 06:27,31.5782,8.82034,29.3756,1022.74,1478.63,238.36,8.78245,12.1008,236.435,-6.69031,-10.0832,0.0822631,31.4238,-2.28668,4.54657
2024-05-25 06:29,31.5804,8.83402,29.3664,1022.73,1478.67,238.433,8.82097,10.657,234.195,-6.23463,-8.643,0.222132,33.2573,-2.19863,0.312485
2024-05-25 06:31,31.593,8.85814,29.3595,1022.73,1478.76,238.484,8.83101,17.255,254.721,-4.54705,-16.6451,1.4311,33.5464,-2.13798,3.52982
2024-05-25 06:33,31.6085,8.887,29.3515,1022.72,1478.86,238.542,8.8463,6.55039,253.445,-1.86644,-6.27885,0.592173,32.3086,-2.35163,1.43572
2024-05-25 06:35,31.6154,8.90364,29.3449,1022.71,1478.91,238.623,8.88539,7.97895,232.338,-4.87519,-6.31634,-0.650138,30.1165,-2.2959,-1.54976
2024-05-25 06:37,31.5996,8.89455,29.3362,1022.7,1478.87,238.701,8.88345,6.09957,233.806,-3.60194,-4.92247,-0.135459,30.7631,-2.28237,3.41855
2024-05-25 06:39,31.6274,8.9147,29.3481,1022.71,1478.96,238.79,8.87852,8.6956,242.574,-4.00524,-7.71827,-1.68709,30.1022,-2.15541,-1.4633
2024-05-25 06:41,31.5575,8.79016,29.3792,1022.75,1478.53,238.86,8.81477,9.18702,217.223,-7.31553,-5.55737,-0.53003,32.0042,-1.97695,1.64268
2024-05-25 06:43,31.6255,8.8784,29.3762,1022.74,1478.85,238.937,8.80308,8.02563,228.794,-5.28705,-6.03804,0.228961,29.6302,-1.88078,0.402356
2024-05-25 06:45,31.6443,8.94535,29.3402,1022.7,1479.06,239.003,8.88212,5.32108,234.004,-3.12737,-4.30505,-0.522344,29.3851,-1.86174,2.51726
2024-05-25 06:47,31.6488,8.95769,29.3345,1022.69,1479.1,239.077,8.91022,12.4195,238.118,-6.5597,-10.5458,-0.739219,30.1898,-1.79575,6.56104
2024-05-25 06:49,31.6468,8.96376,29.3275,1022.69,1479.11,239.14,8.93813,9.83246,272.495,0.428098,-9.82314,0.819654,31.9587,-2.06082,1.90451
2024-05-25 06:51,31.6599,8.98085,29.3268,1022.68,1479.18,239.201,8.95671,10.3953,264.012,-1.08453,-10.3386,-0.610165,30.5941,-1.89186,-0.530222
2024-05-25 06:53,31.6634,8.99074,29.3223,1022.68,1479.21,239.254,8.98162,7.58198,246.686,-3.00075,-6.96289,0.760292,31.1592,-1.50386,4.97847
2024-05-25 06:55,31.6545,8.95805,29.3401,1022.7,1479.11,239.365,8.94172,4.992,302.185,2.65901,-4.2249,0.38326,30.9444,-1.60231,-0.915967
2024-05-25 06:57,31.6271,8.93013,29.3351,1022.7,1479.0,239.424,8.93953,4.03353,274.734,0.332876,-4.01977,-0.312684,30.2727,-1.4753,-7.22741
2024-05-25 06:59,31.6238,8.92367,29.337,1022.7,1478.98,239.508,8.90807,9.43625,249.725,-3.26984,-8.85161,0.659482,33.0426,-1.56496,3.89938
2024-05-25 07:01,31.6676,8.99816,29.3205,1022.67,1479.23,239.549,8.9715,5.76121,273.868,0.388663,-5.74808,1.33673,30.4284,-1.64316,4.8615
2024-05-25 07:03,31.6488,8.98533,29.3117,1022.67,1479.18,239.606,8.98191,9.14175,280.945,1.73564,-8.97548,0.966819,33.6932,-1.79401,-6.81848
2024-05-25 07:05,31.6427,8.973,29.3156,1022.67,1479.13,239.708,8.95446,8.72152,257.662,-1.86366,-8.52008,-1.40627,51.7131,-3.67055,2.30183
2024-05-25 07:07,31.6658,9.00264,29.3149,1022.67,1479.24,239.754,9.00577,5.11238,303.116,2.79304,-4.28198,2.31786,57.5801,-4.60824,3.52964
2024-05-25 07:09,31.6754,9.01389,29.3155,1022.67,1479.29,239.807,9.01668,7.18054,300.43,3.63686,-6.19139,1.05131,47.352,-2.30258,0.315957
2024-05-25 07:11,31.6546,8.99547,29.3094,1022.67,1479.21,239.863,9.00081,5.79929,241.847,-2.73626,-5.11318,-1.53156,53.203,-2.07555,-2.38998
2024-05-25 07:13,31.617,8.93618,29.3197,1022.68,1479.0,239.937,8.93554,10.5825,288.355,3.33254,-10.044,0.529508,42.6007,-2.11736,-0.451711
