idx,is_anomalous,error,threshold
16,False,4.1269283643602703e-07,0.27543574571609497
17,False,1.18979263080474e-06,0.21733735501766205
18,False,3.4525953125889647e-07,0.16822034120559692
19,False,4.3157101272543005e-07,0.1264129877090454
20,False,1.2927897042626086e-07,0.07837153971195221
21,False,9.051275080378721e-08,0.025528721511363983
22,False,7.787966059823975e-08,0.0015717893838882446
23,False,8.139365737432244e-09,0.0009565949440002441
24,False,2.0539757562897683e-08,0.00037810206413269043
25,False,2.516934878483563e-08,0.001419156789779663
26,False,3.4895671143744986e-08,0.0011742562055587769
27,False,6.610345978637479e-08,0.00223609060049057
28,False,6.635247973877655e-09,0.0028497427701950073
29,False,2.0185150447910053e-08,0.0028136596083641052
30,False,3.637707898144017e-08,0.0029765069484710693
31,False,4.130130373978981e-08,0.0027741044759750366
32,False,8.790066950453648e-08,0.0025916919112205505
33,False,1.0597424053456172e-07,0.0015441849827766418
34,False,6.839865050369632e-08,0.001218169927597046
35,False,2.631003958088494e-09,0.0007723048329353333
36,False,1.3822671803921111e-08,0.0006226673722267151
37,False,1.930653214490763e-08,0.0014629438519477844
38,False,5.885300935152519e-09,0.0022160932421684265
39,False,2.8486150060937108e-08,0.0021381601691246033
40,False,2.4211021462044698e-08,0.00361429899930954
41,False,4.6925693006000154e-08,0.003325924277305603
42,False,1.607520202236704e-08,0.00407448410987854
43,False,2.491731292169269e-07,0.003588072955608368
44,False,3.0818028795618266e-08,0.0026745572686195374
45,False,1.3307704108440044e-08,0.0030441507697105408
46,False,9.775557164707913e-08,0.0016091391444206238
47,False,1.4779367861402152e-07,0.0011316165328025818
48,False,2.6192871518144632e-08,0.0006225332617759705
49,False,1.006343540526756e-08,0.0007607340812683105
50,False,1.4813766546968547e-08,0.001370742917060852
51,False,2.458231729703504e-08,0.001917906105518341
52,False,6.9598559989915e-09,0.0026975274085998535
53,False,1.9593791208488494e-08,0.0034531131386756897
54,False,3.7031393580271587e-09,0.003727070987224579
55,False,1.0699209576375182e-08,0.0039369165897369385
56,False,1.935532002312551e-08,0.004076793789863586
57,False,2.4834732142290025e-07,0.003264807164669037
58,False,5.56305374741788e-07,0.0024631917476654053
59,False,1.1074043289468513e-07,0.0019975677132606506
60,False,3.3219162791276395e-08,0.0019625797867774963
